"tipo","caminho_original","caminho_final","status","sha256","observacoes"
"documento","Analise novamente os arquivos.txt","docs/Analise novamente os arquivos.txt","migrado_sem_edicao","70374A93BE6D842DDD7C083EDFA9E20BA3F7132BE0FF6F538DB475F212A6E45A","movido da raiz para docs"
"documento","Atue agora como arquiteto de conteú.txt","docs/Atue agora como arquiteto de conteú.txt","migrado_sem_edicao","600E147DEA2F20CD26ACBB3EB7E66B05F374EB8FC263DB7E108C60EB0619A8D2","movido da raiz para docs"
"documento","Atue como arquiteto técnico respons.txt","docs/Atue como arquiteto técnico respons.txt","migrado_sem_edicao","ADF463D6AF12881C0CCF4D296707FD7CF4276F201377DAA797DC9252357255E7","movido da raiz para docs"
"documento","Atue como engenheiro de software re.txt","docs/Atue como engenheiro de software re.txt","migrado_sem_edicao","0C8DF91457B3BF9D62CFBB1925F7D7BE73BBEA4AF96D2E15DC681EE5F811AE66","movido da raiz para docs"
"documento","AUDITORIA_PRE_RENOMEACAO_IMAGENS_MARCUS_REBOQUE.md","docs/AUDITORIA_PRE_RENOMEACAO_IMAGENS_MARCUS_REBOQUE.md","migrado_sem_edicao","A50EF7BA39683F55EB95A89F47198422FA4C8372BA1119D9591F47FA678768AF","movido da raiz para docs"
"documento","BACKUP_COMPLETO_NOMES_E_CAMINHOS_ORIGINAIS_MARCUS_REBOQUE.csv","docs/BACKUP_COMPLETO_NOMES_E_CAMINHOS_ORIGINAIS_MARCUS_REBOQUE.csv","migrado_sem_edicao","89E372FC18124FA3745180509B78909F823F485D38477DD3954DAC2AB6076B9C","movido da raiz para docs"
"documento","BACKUP_ESTADO_PRE_SCAFFOLD_MARCUS_REBOQUE.md","docs/BACKUP_ESTADO_PRE_SCAFFOLD_MARCUS_REBOQUE.md","migrado_sem_edicao","EB949EEDA5373B05F6909F081D763233F24B6B170C99B5947478175A5ABF846C","movido da raiz para docs"
"documento","DIAGNOSTICO_TECNICO_PRE_IMPLEMENTACAO_MARCUS_REBOQUE.md","docs/DIAGNOSTICO_TECNICO_PRE_IMPLEMENTACAO_MARCUS_REBOQUE.md","migrado_sem_edicao","D8AAC8A4294D278C0E21098DBA095E29B1F780769E0FEF48294F14F62E251961","movido da raiz para docs"
"documento","Execute agora a RENOMEAÇÃO CONTROLA.txt","docs/Execute agora a RENOMEAÇÃO CONTROLA.txt","migrado_sem_edicao","4F7617CC0C736179F1D2BDFB955B1CD4888848DE6F7FE63DBA8D46988755E3D9","movido da raiz para docs"
"documento","GUIA_ALT_TEXT_E_LEGENDAS_MARCUS_REBOQUE.md","docs/GUIA_ALT_TEXT_E_LEGENDAS_MARCUS_REBOQUE.md","migrado_sem_edicao","DDFAF0D03199CF70BACEC7662FE3F587A1FE9C0719DC66C11F65AADEA32DFB79","movido da raiz para docs"
"documento","INVENTARIO_TECNICO_PROJETO_MARCUS_REBOQUE.csv","docs/INVENTARIO_TECNICO_PROJETO_MARCUS_REBOQUE.csv","migrado_sem_edicao","362FBFACBD27B3CD4326D7B7489AE797F12ED886D7D311BA0AF291DB35DDA973","movido da raiz para docs"
