id,caminho_original,nome_original,caminho_final,nome_final,categoria,pagina_associada,qualidade,orientacao,confianca,status,sha256,observacoes
001,logotipo-520x520.png,logotipo-520x520.png,IMAGENS_MARCUS_REBOQUE/01_IDENTIDADE_VISUAL/marcus-reboque-logotipo-fortaleza-ce-01.png,marcus-reboque-logotipo-fortaleza-ce-01.png,01_LOGOTIPOS,identidade visual,alta,quadrada,alto,renomeado_e_organizado,86310A403CC941B7363307810B90A81C072958FF59436FC087B889B5415DBD3D,arquivo de marca; preservar proporcao quadrada
002,Photos-3-001/7f119755-2119-4a7f-be97-56dcbdd6f8b8.jpg,7f119755-2119-4a7f-be97-56dcbdd6f8b8.jpg,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/12_PEQUENAS_CARGAS/marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-01.jpg,marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-01.jpg,14_PEQUENAS_CARGAS,pequenas cargas,media,quadrada,alto,renomeado_e_organizado,153F323523F800DBD8A71E3C5A9AB87C26814FD256C56589D09721636BFD8AFD,carga bem identificavel; amarracao visivel
003,Photos-3-001/9fd0c14f-2416-4990-a1b8-050f3f983b42.jpg,9fd0c14f-2416-4990-a1b8-050f3f983b42.jpg,IMAGENS_MARCUS_REBOQUE/99_PENDENTES_DE_REVISAO/CLASSIFICACAO_INCONCLUSA/9fd0c14f-2416-4990-a1b8-050f3f983b42.jpg,9fd0c14f-2416-4990-a1b8-050f3f983b42.jpg,10_MAQUINAS_AGRICOLAS,maquinas agricolas,media,quadrada,medio,pendente_movido_sem_renomear,2EAB123D17D4DCF4AF1D20AFFA0D1C40F49ED81D40C3F9FCE913E8E46AD7DE6B,confianca media na identificacao/categoria registrada na auditoria; validar classificacao visual com responsavel antes de renomear/publicar; maquina compacta; nao e possivel confirmar uso agricola
004,Photos-3-001/78d20617-5dd3-4494-b42f-061f4561708c.jpg,78d20617-5dd3-4494-b42f-061f4561708c.jpg,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-01.jpg,marcus-reboque-guincho-carro-fortaleza-ce-01.jpg,04_CARROS,carros,alta,quadrada,alto,renomeado_e_organizado,0A55D11B4C61497189F7C3495A21740D80E65D5715C2D5540BD475038D509941,imagem clara do servico
005,Photos-3-001/694e2c35-ff23-44b8-80ea-b343e4bf9660.jpg,694e2c35-ff23-44b8-80ea-b343e4bf9660.jpg,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-02.jpg,marcus-reboque-guincho-carro-fortaleza-ce-02.jpg,04_CARROS,carros,media,quadrada,alto,renomeado_e_organizado,C5A14DECD0D232BC9433747A7C8567E5AE4BEC99DF8A23217F1BEAC66A5E2F55,possivel sequencia de atendimento com sedan vermelho
006,Photos-3-001/c4ca50b7-8799-4452-8ec1-c8798d201b4b.jpg,c4ca50b7-8799-4452-8ec1-c8798d201b4b.jpg,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/04_VANS/marcus-reboque-guincho-van-fortaleza-ce-01.jpg,marcus-reboque-guincho-van-fortaleza-ce-01.jpg,06_VANS,vans,media,quadrada,alto,renomeado_e_organizado,743DE2111E68D29F36531417C53BA1E3D4C40BA1A231C0DF008FD36BFCDD64C6,ha marca de terceiro no veiculo transportado; usar com cautela
007,Photos-3-001/c48ccf76-6e68-4b38-bf80-d9a7ebe008e9.jpg,c48ccf76-6e68-4b38-bf80-d9a7ebe008e9.jpg,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-01.jpg,marcus-reboque-guincho-moto-fortaleza-ce-01.jpg,03_MOTOS,motos e motocicletas,alta,quadrada,alto,renomeado_e_organizado,DA2D7026667D52E04F8DBE858AFF5C8EA6879983FB9DE653C6C60BCD7B93D78A,moto bem visivel
008,Photos-3-001/unnamed (1).webp,unnamed (1).webp,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-02.webp,marcus-reboque-guincho-moto-fortaleza-ce-02.webp,03_MOTOS,motos e motocicletas,media,quadrada,alto,renomeado_e_organizado,F7460A81C06858A1B248E5EA8EE5171914C939FF7613890AAD8537BF63E6BE41,luz artificial; bom apoio para servico 24h
009,Photos-3-001/unnamed (2).webp,unnamed (2).webp,IMAGENS_MARCUS_REBOQUE/99_PENDENTES_DE_REVISAO/CLASSIFICACAO_INCONCLUSA/unnamed (2).webp,unnamed (2).webp,10_MAQUINAS_AGRICOLAS,maquinas agricolas,media,quadrada,medio,pendente_movido_sem_renomear,58FA47EC51A0B133CC9BC0D7CBA0E034E14DF52684E5F102660FEA61F8E5E93E,confianca media na identificacao/categoria registrada na auditoria; validar classificacao visual com responsavel antes de renomear/publicar; imagem inclinada; maquina claramente visivel
010,Photos-3-001/unnamed (3).webp,unnamed (3).webp,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-03.webp,marcus-reboque-guincho-carro-fortaleza-ce-03.webp,04_CARROS,carros,media,quadrada,alto,renomeado_e_organizado,3D40C9843A3A36870B2D6E6E3A3A5AFB38DB21DEF706C9DF0E8A7573EC15F738,bom registro de atendimento diurno
011,Photos-3-001/unnamed (4).webp,unnamed (4).webp,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-03.webp,marcus-reboque-guincho-moto-fortaleza-ce-03.webp,03_MOTOS,motos e motocicletas,media,quadrada,alto,renomeado_e_organizado,93EA35B334B19FF2F2627A8CDA8CD76B8C13034FE7D6A575FFD6AB6938E75A53,"imagem clara, com enquadramento central"
